price,sqrt,location,bhk,New/Resale,Gymnasium,Lift Available,CarParking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
23000000.0,1100.0,nan,3.0,,0,Yes,1,1,1,No,0,0,0,0,0,0,No
13500000.0,,Powai ,1.0,0.0,,1,1,0,1,Yes,1,1,0,No,1,1,Yes
8800000.0,600.0,Kandivali West,1.0,0.0,1,1,,0,1,1,Yes,Yes,,0,0,1,1
55000000.0,1388.0,Lower Parel,2.0,0.0,0,,1,1,1,0,0,0,0,0,No,0,0
,1150.0,Ulwe,3.0,0.0,Yes,0,1,0,1,0,Yes,1,1,1,0,0,
7837000.0,1045.0,Mira Road East,2.0,,0,1,0,0,0,1,No,1,0,0,0,0,No
14400000.0,1030.0,Seawoods,2.0,1.0,1,Yes,1,0,0,1,1,1,1,1,0,1,0
24000000.0,828.0,Kandivali West,2.0,0.0,Yes,1,1,0,1,1,1,,1,0,1,1,1
15000000.0,850.0,Andheri  East,2.0,0.0,,1,1,No,1,1,1,1,0,1,1,,Yes
2900000.0,695.0,Taloja,,0.0,0,1,1,1,Yes,0,0,,0,0,0,0,0
14800000.0,,Kurla,2.0,1.0,1,0,No,0,0,,0,0,No,0,0,0,0
12000000.0,931.0,Panvel,3.0,,1,1,1,0,Yes,1,1,1,1,1,No,1,1
8588000.0,1130.0,Kharghar,2.0,1.0,1,1,1,1,1,0,1,Yes,1,1,0,1,1
19500000.0,1200.0,Malad East,2.0,1.0,0,0,0,,0,0,0,0,No,0,0,0,0
5300000.0,860.0,Nala Sopara,1.0,0.0,0,1,0,No,No,1,0,Yes,0,0,0,0,No
2300000.0,640.0,Virar,1.0,0.0,0,1,0,No,0,1,0,No,No,0,0,0,0
25000000.0,1250.0,Andheri  West,,0.0,1,1,0,No,0,0,1,1,0,0,0,No,1
,1100.0,Gundavali Gaothan,2.0,0.0,0,1,1,,1,1,0,No,0,0,No,0,No
19900000.0,664.0,Mulund West,2.0,,1,,Yes,0,1,1,1,1,1,1,,1,1
2005000.0,575.0,Badlapur,1.0,1.0,0,Yes,1,,1,No,0,1,0,0,0,0,0
,800.0,Jogeshwari West,2.0,0.0,0,Yes,0,No,0,1,0,0,0,0,0,,No
10800000.0,1260.0,Thane West,2.0,1.0,1,1,0,0,0,1,1,1,0,0,1,0,1
19500000.0,1215.0,nan,3.0,0.0,,1,Yes,1,1,1,1,1,1,1,1,1,1
16000000.0,800.0,Andheri  West,2.0,0.0,0,0,0,0,1,0,1,1,1,No,No,0,1
9300000.0,1800.0,Panvel,3.0,0.0,1,1,0,No,0,1,1,1,0,0,0,0,Yes
2700000.0,,Virar West,1.0,0.0,1,Yes,0,0,0,0,,0,0,0,0,0,0
30000000.0,2355.0,nan,4.0,0.0,1,1,1,0,1,1,1,0,,,,1,1
28000000.0,730.0,mumbai,2.0,0.0,1,1,1,Yes,1,0,No,,0,0,No,0,0
15200000.0,1286.0,Nerul,,0.0,1,1,1,1,Yes,Yes,,1,Yes,1,0,1,1
7500000.0,1050.0,Kharghar,,0.0,No,Yes,1,1,,No,No,0,No,No,No,1,0
8800000.0,,Panvel,2.0,1.0,1,1,1,,1,1,1,1,Yes,1,No,Yes,1
3500000.0,607.0,Kalyan West,1.0,1.0,1,1,0,0,Yes,1,1,1,1,0,0,1,1
10400000.0,1365.0,Mira Road East,3.0,0.0,0,1,0,0,No,1,0,1,0,0,1,0,No
9500000.0,950.0,nan,2.0,0.0,1,1,1,1,1,No,1,1,0,0,0,1,1
13500000.0,1340.0,Sector 19 Kharghar,2.0,0.0,0,,1,1,1,0,0,0,No,0,,,0
5900000.0,725.0,Kalamboli,1.0,1.0,,1,0,0,0,,1,Yes,,0,0,0,
6400000.0,1180.0,Mira Road and Beyond,2.0,0.0,Yes,Yes,1,,1,0,,0,0,No,0,,0
9300000.0,1310.0,Kamothe,2.0,0.0,0,No,1,1,1,0,0,0,0,0,0,0,0
5000000.0,702.0,mumbai Agra National Highway,1.0,1.0,0,0,No,0,0,0,0,0,0,0,0,,0
8000000.0,720.0,Thane West,1.0,,,1,1,0,1,1,,1,1,0,0,Yes,1
2390000.0,,nan,1.0,0.0,0,1,0,No,0,1,0,No,,0,0,No,0
8100000.0,1097.0,nan,2.0,0.0,0,0,0,No,0,No,0,0,0,0,0,,0
,839.0,Kandivali West,2.0,0.0,1,1,1,0,Yes,1,1,0,,,Yes,,
8500000.0,560.0,Dahisar West,,0.0,0,0,0,0,0,0,0,0,0,,1,No,0
32500000.0,980.0,Dadar West,2.0,0.0,0,1,1,0,1,0,0,No,0,0,No,0,0
6000000.0,740.0,Kharghar,1.0,0.0,Yes,Yes,1,1,1,Yes,1,1,0,Yes,0,1,
4500000.0,550.0,Kharghar,1.0,,0,1,1,Yes,1,0,0,No,1,0,0,0,0
10000000.0,1700.0,Kamothe,3.0,0.0,Yes,1,1,1,1,0,1,0,0,No,0,,0
8420000.0,960.0,nan,2.0,1.0,Yes,1,0,0,0,1,Yes,1,No,0,1,0,1
19000000.0,980.0,Goregaon West,2.0,,1,1,0,0,0,1,,1,0,0,1,1,0
4000000.0,565.0,Kalyan West,1.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,
57000000.0,1203.0,Ghatkopar West,4.0,0.0,1,1,1,1,1,1,,,Yes,1,0,0,
,680.0,Taloja,1.0,0.0,0,0,1,Yes,Yes,0,No,0,No,0,No,0,0
,,Powai ,2.0,0.0,1,,1,0,1,1,1,1,1,0,1,1,1
33500000.0,1112.0,Goregaon West,3.0,1.0,1,1,1,,1,1,Yes,1,0,0,,1,
4052000.0,,Badlapur East,2.0,1.0,1,1,1,0,1,Yes,1,Yes,0,1,0,1,1
8900000.0,1690.0,Panvel,3.0,,1,1,Yes,0,1,1,1,,1,1,0,1,
12400000.0,650.0,Andheri  East,1.0,0.0,,0,0,0,,0,0,0,0,0,0,No,0
18000000.0,1350.0,Goregaon West,3.0,0.0,1,1,,0,1,Yes,1,1,0,0,0,1,1
19700000.0,709.0,nan,2.0,1.0,0,0,0,No,0,0,0,0,0,0,,0,0
13899999.0,614.0,Kandivali East,2.0,,Yes,Yes,1,0,Yes,1,1,1,0,0,No,1,1
8725000.0,,Kamothe,2.0,0.0,1,1,1,,1,No,1,1,No,0,,1,Yes
17900000.0,1400.0,Kandivali West,3.0,1.0,0,1,No,0,0,No,0,1,0,0,1,0,0
3600000.0,800.0,Nala Sopara,2.0,,,Yes,No,0,0,Yes,0,0,0,0,0,0,0
15000000.0,1100.0,Dahisar,2.0,0.0,0,1,0,0,,1,0,0,0,0,1,0,1
22000000.0,1300.0,borivali West,2.0,1.0,Yes,1,1,0,1,1,1,Yes,1,No,0,1,1
,2436.0,Napeansea Road,3.0,1.0,1,1,Yes,1,1,Yes,1,1,1,1,1,1,1
,610.0,matunga east,1.0,0.0,0,1,0,0,0,,0,1,0,0,0,0,0
2460000.0,510.0,Taloja,1.0,,1,1,0,0,,1,1,1,0,Yes,1,0,
9013000.0,,Panvel,2.0,,1,1,1,0,1,1,1,1,Yes,1,0,,1
18900000.0,1404.0,Malad West,3.0,1.0,1,1,0,1,1,1,0,Yes,1,0,1,Yes,1
6500000.0,645.0,Ghansoli,1.0,0.0,0,1,0,0,,0,0,0,0,0,1,No,0
9500000.0,750.0,borivali West,1.0,0.0,0,0,,0,No,0,0,0,0,0,1,0,0
16500000.0,1350.0,Ghatkopar West,3.0,1.0,1,1,No,0,0,1,No,1,0,0,0,0,0
17200000.0,750.0,nan,2.0,1.0,Yes,1,1,1,1,Yes,1,1,Yes,1,0,1,1
14900000.0,806.0,Malad East,2.0,0.0,0,,Yes,1,1,0,0,0,0,0,0,0,No
4500000.0,550.0,nan,1.0,0.0,1,0,1,1,1,,0,0,0,0,0,0,1
,695.0,Mira Road East,1.0,0.0,No,1,1,0,0,1,0,1,0,,1,0,0
6600000.0,975.0,Kalyan West,2.0,0.0,Yes,1,1,,1,0,1,1,1,0,0,1,1
23500000.0,1250.0,Nerul,1.0,0.0,,1,1,0,1,1,1,,0,0,No,1,1
8500000.0,650.0,nan,1.0,1.0,0,No,0,No,0,0,0,0,0,No,0,0,0
37700000.0,1556.0,Goregaon West,3.0,1.0,1,1,0,,0,,,1,,0,1,,Yes
,950.0,Dahisar,2.0,0.0,0,1,1,0,0,0,0,0,0,0,0,No,0
19500000.0,,nan,2.0,1.0,1,1,1,0,,Yes,1,1,1,1,0,1,1
,750.0,Panvel,2.0,1.0,,,No,0,0,Yes,1,1,No,No,0,0,1
15400000.0,711.0,Thane West,2.0,1.0,1,1,0,0,0,1,1,,0,0,0,0,Yes
10500000.0,1136.0,Sector 5,2.0,0.0,0,No,1,Yes,1,0,0,No,0,0,0,0,0
3500000.0,670.0,taloja panchanand,1.0,0.0,,Yes,Yes,,1,,1,0,1,0,0,,1
2725000.0,535.0,Badlapur East,1.0,1.0,1,,1,0,Yes,1,,1,No,1,0,1,1
18000000.0,1309.0,Thane West,,1.0,1,0,1,0,,1,0,1,1,1,0,1,0
16500000.0,970.0,Powai ,2.0,0.0,Yes,,1,No,1,1,,1,1,0,0,1,1
3000000.0,530.0,Thane,1.0,,1,1,1,1,1,0,Yes,0,,0,No,No,No
16500000.0,756.0,borivali West,,1.0,1,1,1,,1,1,No,Yes,0,,0,1,Yes
12000000.0,750.0,Kandivali West,1.0,0.0,0,1,No,0,0,1,0,0,0,No,Yes,No,0
14000000.0,1320.0,Sector 18,2.0,0.0,0,0,1,Yes,1,0,0,0,0,,0,0,0
4000000.0,550.0,Panvel,2.0,,0,No,0,0,0,0,0,0,0,0,No,0,0
4427000.0,873.0,Badlapur East,2.0,1.0,1,1,1,0,1,1,1,,0,1,No,1,1
29500000.0,1818.0,Malad East,3.0,0.0,1,1,,0,1,1,1,1,Yes,1,0,1,
12200000.0,855.0,Malad East,2.0,0.0,0,1,0,0,0,0,0,1,0,,Yes,0,0
17500000.0,1750.0,Kharghar,3.0,0.0,1,1,1,Yes,Yes,,1,1,1,1,No,1,1
2600000.0,590.0,Nala Sopara,1.0,1.0,1,1,Yes,No,1,0,1,0,0,0,0,1,1
16800000.0,751.0,Chembur,2.0,1.0,0,0,0,0,0,0,0,No,0,0,0,0,0
7930000.0,1220.0,Panvel,2.0,1.0,1,1,,,1,1,1,1,1,1,0,1,1
2600000.0,510.0,Badlapur East,1.0,1.0,1,1,1,0,1,1,1,1,0,1,0,1,1
42000000.0,1200.0,Lower Parel,2.0,0.0,0,1,1,0,1,0,0,0,1,0,No,0,1
26500000.0,1450.0,Magathane,3.0,0.0,0,1,,1,1,0,0,0,No,0,0,No,0
17500000.0,3200.0,Panvel,5.0,0.0,1,1,0,No,0,1,1,1,0,0,1,0,1
17000000.0,1250.0,nan,2.0,1.0,0,,1,0,1,No,0,1,0,0,1,1,No
29400000.0,1450.0,Andheri ,3.0,1.0,1,1,1,0,1,Yes,Yes,0,0,1,0,No,1
3661000.0,1077.0,Boisar,3.0,1.0,1,0,,0,1,1,1,1,1,1,0,Yes,1
3645000.0,810.0,Virar,,1.0,1,1,1,,1,1,1,Yes,No,1,0,1,1
3600000.0,450.0,Dombivali,1.0,0.0,0,1,1,0,1,0,,0,1,,1,0,1
,800.0,Powai ,2.0,0.0,No,1,0,0,0,1,0,1,0,No,1,0,0
70000000.0,1824.0,Bandra West,3.0,0.0,0,1,0,0,0,0,0,0,0,,1,0,0
5000000.0,600.0,Kharghar,1.0,0.0,No,1,1,1,1,1,No,1,1,,No,0,0
11000000.0,750.0,Jogeshwari West,1.0,,0,1,1,0,1,0,0,0,0,0,0,0,0
6500000.0,720.0,Kalwa,1.0,0.0,0,0,0,0,,0,,No,0,0,0,0,0
15500000.0,,Kharghar,3.0,0.0,1,1,No,No,0,1,1,Yes,0,0,0,,1
6900000.0,1100.0,Kharghar,2.0,0.0,0,1,1,1,1,,0,1,1,,0,0,0
5300000.0,860.0,Nala Sopara,1.0,0.0,0,1,0,No,No,1,0,Yes,0,0,0,0,No
3467000.0,,Dombivali East,1.0,1.0,0,1,1,0,Yes,0,0,0,0,No,0,0,0
26400000.0,837.0,Ville Parle East,2.0,1.0,0,1,0,0,0,No,0,0,1,0,1,0,0
49500000.0,1092.0, WORLI,3.0,0.0,1,1,0,,0,1,1,Yes,0,0,1,No,Yes
12000000.0,900.0,borivali West,2.0,0.0,1,1,,No,1,Yes,1,1,1,,0,1,1
18900000.0,1225.0,Thakur complex,2.0,0.0,0,1,1,1,1,1,No,1,0,,1,0,0
7400000.0,890.0,Sector 17 Ulwe,2.0,0.0,1,1,1,Yes,1,0,1,0,0,0,0,0,0
18900000.0,600.0,Ville Parle East,,0.0,0,,0,No,0,0,No,0,,0,1,0,0
5299000.0,860.0,Kalyan West,2.0,0.0,1,1,1,Yes,1,1,1,0,0,0,0,,No
2400000.0,595.0,Nala Sopara,1.0,1.0,1,Yes,1,No,1,1,1,1,0,0,0,1,1
2700000.0,540.0,Naigaon East,,1.0,Yes,1,1,1,1,1,1,1,Yes,0,0,1,
19800000.0,1450.0,Malad West,3.0,,1,1,1,0,,1,1,1,1,1,0,1,Yes
8500000.0,575.0,Thane West,1.0,1.0,1,1,1,0,0,1,Yes,1,0,0,1,1,1
12500000.0,1390.0,Mira Road East,3.0,0.0,1,1,1,0,1,1,1,1,1,0,,1,1
9100000.0,600.0,Mulund West,1.0,0.0,,1,,0,0,0,0,0,0,0,1,0,0
16200000.0,2495.0,Panvel,4.0,1.0,1,1,Yes,0,1,Yes,1,1,1,1,0,Yes,1
14500000.0,791.0,Kandivali West,2.0,,1,1,1,0,1,1,1,0,0,1,1,Yes,1
2650000.0,420.0,Ulwe,1.0,1.0,0,0,No,No,0,0,0,0,0,0,0,0,0
9200000.0,945.0,Bhayandar East,2.0,,1,1,1,0,1,0,0,Yes,0,0,Yes,1,Yes
,915.0,Andheri  East,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1
9600000.0,950.0,Thane West,2.0,0.0,1,1,,0,1,,Yes,0,0,No,0,0,1
13500000.0,650.0,Santacruz East,1.0,,0,1,0,0,0,1,0,No,0,0,1,0,0
12800000.0,1100.0,Sainath Nagar,2.0,0.0,No,1,1,Yes,1,No,0,0,No,0,0,,0
6700000.0,670.0,Thane West,1.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0
15300000.0,688.0,Malad West,2.0,,1,1,Yes,No,1,1,1,0,Yes,1,0,1,1
2300000.0,480.0,Dombivli (West),1.0,1.0,No,0,No,No,1,0,No,0,1,0,No,0,0
9000000.0,1220.0,Sector 5 Ulwe,,0.0,0,1,1,1,1,0,0,0,0,0,0,0,No
14200000.0,950.0,Malad West,2.0,0.0,,Yes,1,,1,Yes,1,1,1,0,0,0,0
,1600.0,borivali West,3.0,1.0,1,0,,0,1,1,1,1,1,,0,1,1
7500000.0,550.0,Thane West,1.0,0.0,1,1,Yes,0,1,1,1,1,1,0,0,Yes,Yes
8355000.0,1055.0,Mira Road East,2.0,1.0,1,1,1,0,1,,1,1,1,1,0,1,1
4600000.0,600.0,Sector 36 Kharghar,1.0,0.0,0,0,1,1,1,,0,No,0,0,0,No,No
19000000.0,1350.0,Malad West,3.0,0.0,1,1,Yes,No,Yes,1,Yes,,1,1,1,Yes,Yes
6000000.0,335.0,Ghatkopar East,1.0,1.0,1,1,1,Yes,1,1,1,1,Yes,1,0,1,1
,653.0,mumbai,1.0,0.0,1,1,1,1,1,,1,0,0,No,0,0,0
17000000.0,1050.0,Goregaon West,3.0,0.0,0,1,No,0,0,0,0,1,No,0,1,0,0
5000000.0,650.0,Sector 20 Kharghar,,0.0,1,1,1,1,1,0,0,0,0,No,0,0,0
18000000.0,1120.0,Kandivali East,,,1,1,1,0,Yes,1,1,1,0,0,1,1,1
6300000.0,850.0,Panvel,,1.0,1,1,1,1,1,1,1,1,1,0,0,1,1
26500000.0,,Powai ,2.0,1.0,1,1,1,0,1,1,1,1,Yes,,No,1,1
3500000.0,650.0,Ulwe,1.0,,,1,0,No,No,0,No,0,No,No,1,0,0
,350.0,Malad West,,0.0,No,1,0,0,0,No,0,1,0,0,1,0,0
26500000.0,1250.0,Andheri  West,2.0,0.0,1,1,,0,1,1,1,1,0,0,0,1,1
17000000.0,1050.0,Magathane,2.0,0.0,0,1,1,Yes,,,No,0,0,0,0,0,0
27500000.0,1000.0,borivali West,3.0,0.0,1,,0,No,0,,1,1,No,0,1,,0
10500000.0,,Thane West,2.0,0.0,Yes,1,0,0,,1,1,1,No,0,1,0,
23000000.0,1000.0,Juhu,2.0,0.0,0,0,0,,0,0,0,0,0,No,0,0,
12100000.0,690.0,Kolshet Road,2.0,0.0,0,No,1,,1,No,0,0,0,0,No,0,No
2500000.0,675.0,Boisar,2.0,1.0,1,1,0,0,1,1,1,1,1,0,0,0,1
,1845.0,Kharghar,3.0,0.0,1,1,Yes,1,Yes,1,Yes,1,1,0,0,1,1
14800000.0,1055.0,Kanjurmarg,2.0,1.0,1,1,,No,1,1,1,1,1,1,0,Yes,
112500000.0,1340.0,Napeansea Road,3.0,0.0,0,1,,0,1,0,No,0,0,,0,0,0
8000000.0,810.0,mumbai Highway,2.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0
8700000.0,525.0,Kandivali East,1.0,0.0,1,1,1,0,1,1,,1,No,No,0,1,Yes
9485000.0,963.0,Thane West,2.0,1.0,1,Yes,1,,1,1,1,0,1,0,No,1,1
2669000.0,639.0,Titwala,1.0,1.0,0,Yes,No,0,0,1,0,1,0,0,0,0,0
26500000.0,,Thakur Village,3.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0,0
18000000.0,1060.0,Wadala East Wadala,,0.0,1,1,1,Yes,,0,0,0,,0,0,0,
2099000.0,882.0,Khalapur,1.0,0.0,1,1,0,0,0,1,Yes,1,No,0,0,0,1
65000000.0,2695.0,Wadala,4.0,1.0,Yes,1,Yes,,Yes,1,1,1,1,No,0,1,1
10000000.0,1340.0,nan,3.0,1.0,1,1,Yes,0,1,1,1,1,1,0,0,1,1
34500000.0,2465.0,Kandivali East,3.0,0.0,1,1,1,0,1,1,1,1,,0,1,1,1
14000000.0,1050.0,Thane West,2.0,1.0,1,1,Yes,0,1,1,1,0,1,0,No,1,1
2250000.0,610.0,Badlapur East,1.0,1.0,1,1,0,0,0,1,1,0,Yes,1,0,0,1
10500000.0,,Ulwe,2.0,1.0,Yes,,1,1,,1,1,1,,0,1,1,1
28500000.0,1289.0,Goregaon West,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2000.0,Bhandup West,,1.0,1,0,1,0,1,1,0,0,,1,,1,Yes
5200000.0,700.0,Kharghar,1.0,0.0,1,Yes,1,1,1,1,,Yes,1,0,,1,1
,577.0,Kalyan West,1.0,0.0,1,1,0,0,1,1,0,0,1,No,0,1,1
,950.0,Mira Road East,,0.0,0,1,1,No,1,Yes,0,No,1,0,,1,Yes
4500000.0,600.0,Greater Khanda,1.0,0.0,,1,0,0,0,1,No,0,0,0,No,0,0
4500000.0,665.0,Taloja,1.0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0
7959999.0,755.0,Kalyan West,2.0,0.0,,1,1,Yes,0,0,No,0,1,0,0,0,0
8200000.0,685.0,Malad West,1.0,0.0,1,1,1,0,1,1,1,0,0,0,0,1,0
2600000.0,545.0,Nala Sopara,1.0,0.0,1,Yes,1,0,1,1,0,0,1,0,No,1,1
19000000.0,1150.0,Rajendra Nagar,3.0,0.0,0,1,1,,1,,0,0,0,0,0,,0
12400000.0,1300.0,nan,3.0,0.0,No,Yes,Yes,1,1,0,0,0,0,0,0,0,0
,615.0,nan,1.0,0.0,No,1,0,No,0,No,0,1,,0,1,0,No
11500000.0,650.0,borivali West,1.0,0.0,No,1,No,0,0,1,0,,No,0,1,No,0
9000000.0,1225.0,Ghansoli,3.0,1.0,,0,0,No,0,,0,0,0,0,0,No,0
8000000.0,,Ulwe,2.0,0.0,1,0,1,Yes,1,No,0,0,No,,0,0,1
16500000.0,1500.0,Kharghar,3.0,0.0,1,1,Yes,No,1,Yes,1,No,0,1,0,,1
18500000.0,1020.0,borivali East,2.0,0.0,1,1,1,0,1,1,1,,1,0,1,1,1
2800000.0,375.0,Mulund East,1.0,0.0,0,1,Yes,1,1,0,0,0,Yes,0,0,0,0
27000000.0,1502.0,Powai ,3.0,0.0,1,1,1,1,1,Yes,1,1,1,,1,,1
7500000.0,800.0,Ulwe,1.0,0.0,0,1,0,0,0,,,1,0,No,0,0,0
9499000.0,,Chembur,1.0,1.0,1,1,1,0,Yes,1,1,1,1,0,1,0,0
55700000.0,1181.0,Andheri  West,3.0,1.0,Yes,1,1,0,1,1,1,0,0,1,0,1,Yes
6000000.0,1080.0,nan,2.0,0.0,1,1,1,0,Yes,1,1,Yes,1,1,,1,1
9200000.0,940.0,Thane West,,0.0,1,1,No,0,0,1,1,1,0,0,Yes,,1
24100000.0,2090.0,Thane West,3.0,1.0,1,1,1,No,Yes,1,1,0,1,1,1,1,1
,684.0,Thane West,2.0,1.0,1,0,1,0,No,,1,0,1,1,,No,1
9800000.0,600.0,Malad West,1.0,0.0,0,,No,0,0,0,0,0,0,0,1,0,0
19600000.0,1250.0,Chembur,2.0,1.0,0,1,1,1,1,0,1,1,Yes,0,No,1,0
6100000.0,1150.0,Dronagiri,2.0,0.0,0,1,1,0,1,0,No,0,0,0,1,0,0
7000000.0,560.0,Kandivali West,1.0,0.0,0,No,No,0,No,0,0,0,0,0,0,0,No
5500000.0,980.0,Kalyan West,2.0,,1,,0,0,,1,1,1,1,No,0,1,1
16000000.0,750.0,borivali West,2.0,,0,0,0,0,0,0,0,,0,0,0,0,0
20000000.0,1440.0,Seawoods,3.0,1.0,1,Yes,1,0,0,1,1,,1,Yes,No,1,1
20000000.0,925.0,borivali West,2.0,0.0,0,Yes,0,0,0,Yes,0,1,0,0,1,0,0
9000000.0,350.0,Jawahar Nagar,1.0,,0,Yes,1,Yes,1,No,0,0,0,0,0,0,0
6500000.0,525.0,Malad West,1.0,,0,No,No,0,0,0,0,0,0,0,0,0,0
9500000.0,1150.0,nan,2.0,0.0,1,1,0,0,0,0,1,1,0,0,0,No,
6000000.0,,Dahisar East,2.0,0.0,No,1,0,0,0,1,0,1,0,,0,0,No
6200000.0,650.0,Kharghar,1.0,0.0,No,1,1,1,,0,0,1,1,0,1,1,0
5500000.0,550.0,Kharghar,1.0,0.0,1,1,1,1,1,,1,1,0,0,No,,1
20500000.0,,Chembur,2.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,
9500000.0,1000.0,Kharghar,2.0,0.0,1,Yes,1,1,Yes,0,1,1,0,0,0,1,Yes
16299999.0,1063.0,Thakur Village,2.0,0.0,,,1,Yes,Yes,0,No,0,,0,0,0,0
6320000.0,384.0,Mira Road East,1.0,1.0,1,1,1,0,,1,,1,1,,,1,
8500000.0,1075.0,Ulwe,2.0,0.0,0,0,,0,0,0,0,No,0,0,No,No,0
,950.0,nan,2.0,1.0,1,1,No,0,0,1,,,,0,1,0,1
10000000.0,475.0,Andheri  East,1.0,0.0,0,0,No,0,0,1,0,0,0,0,Yes,No,0
6000000.0,550.0,Dahisar,1.0,0.0,1,Yes,No,0,0,1,Yes,No,1,0,1,1,1
,901.0,Thane West,2.0,1.0,1,1,1,0,0,1,Yes,,,1,0,1,1
2700000.0,615.0,Nalasopara West,1.0,0.0,0,0,0,0,,0,0,0,,0,No,0,0
16500000.0,,Ulwe,3.0,0.0,1,1,0,0,,0,0,,0,0,0,0,0
4000000.0,600.0,Sector 17 Ulwe,2.0,0.0,1,0,Yes,1,1,0,1,0,No,,0,0,No
20800000.0,1214.0,Thane West,3.0,1.0,1,No,0,,0,No,0,No,0,1,0,1,0
71000000.0,2580.0, WORLI,3.0,0.0,1,Yes,1,0,1,0,,1,1,0,0,1,Yes
11000000.0,1550.0,Kharghar,3.0,0.0,1,1,1,1,1,1,0,1,1,0,0,1,0
4000000.0,1380.0,Boisar,3.0,0.0,1,1,,0,No,1,1,1,1,0,0,1,1
2350000.0,540.0,nan,1.0,0.0,1,Yes,1,1,1,1,0,1,1,No,0,1,0
6000000.0,1000.0,Dronagiri,2.0,1.0,1,,0,0,0,1,1,1,0,,0,No,1
5600000.0,600.0,nan,1.0,0.0,1,1,0,0,0,1,1,0,Yes,0,0,,1
16000000.0,800.0,Andheri  West,2.0,0.0,0,0,0,0,1,0,1,1,1,No,No,0,1
16500000.0,1550.0,Thane West,3.0,1.0,,0,No,No,No,0,,0,0,0,0,0,0
11299999.0,600.0,borivali East,1.0,0.0,Yes,,1,0,1,0,1,1,No,0,1,Yes,1
9000000.0,,borivali West,1.0,0.0,1,1,0,0,No,1,No,1,0,0,Yes,0,1
7900000.0,940.0,Kamothe,2.0,0.0,1,1,1,1,1,0,Yes,0,0,0,0,0,0
3499000.0,420.0,nan,1.0,,0,Yes,0,,No,0,No,,0,0,0,0,0
5500000.0,750.0,Vasai West,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,No,0
5700000.0,1060.0,Taloja,,0.0,No,0,1,1,1,0,0,0,0,0,0,No,0
5000000.0,950.0,Kalyan West,2.0,0.0,Yes,1,1,0,1,1,1,No,,0,0,1,1
9500000.0,1120.0,Kharghar,2.0,,1,1,Yes,1,,1,1,,Yes,1,0,1,Yes
23900000.0,1042.0,Wadala East,2.0,1.0,1,1,,1,1,1,Yes,Yes,1,0,0,0,1
6798999.0,577.0,Thane West,2.0,,1,1,1,0,1,0,,0,1,0,,1,
12500000.0,880.0,Thane West,2.0,0.0,1,1,Yes,0,0,Yes,,1,,0,0,1,1
