id,listing_type,title,property_name,project,location,price,price_per_sqft,area,area_unit,area_type,bhk,bathrooms,possession,highlights,nearby,description,builder,posted_by,image,url,configurations,source_page
470862,PROJECT,Sugee Shree Krishnakunj,Sugee Shree Krishnakunj,,"Dadar West, Mumbai",₹2.8 Cr | ₹5.71 Cr,,,,,3 BHK,,,,Chhatrapati Shivaji Maharaj Park | Proposed Dadar Metro Station,"Check out 1,3 BHK apartments in Dadar West, now available for sale at Sugee Shree Krishnakunj. Prices of apartments in this project, vary between Rs. 2.8 - 5.71 Cr. Sugee Shree Krishnakunj has apartments in multiple configurations, in range of 467 - 955 sqft. The housing society is RERA-registered with PR1170002501200 registration number",Sugee Group,,,https://www.99acres.com/sugee-shree-krishnakunj-dadar-west-south-mumbai-npxid-r470862,1 BHK Apartment: ₹2.8 Cr | 3 BHK Apartment: ₹5.71 Cr,1
449854,PROJECT,Satviki Horizon,Satviki Horizon,,"Dadar East, Mumbai",₹3.25 - 3.26 Cr | ₹4.79 - 4.94 Cr,,,,,3 BHK,,,,Saint Paul High School | Parel Hospital,"Check out 2,3 BHK apartments in Dadar East, now available for sale at Satviki Horizon. Prices of apartments in this project, vary between Rs. 3.25 - 4.94 Cr. Satviki Horizon is a RERA- registered society and PM1170002500359 is the RERA registration number. Apartments in Satviki Horizon have CARPET area ranging between 696 - 1,058 sqft",Satviki Realty,,,https://www.99acres.com/satviki-horizon-dadar-east-south-mumbai-npxid-r449854,2 BHK Apartment: ₹3.25 - 3.26 Cr | 3 BHK Apartment: ₹4.79 - 4.94 Cr,1
443199,PROJECT,HRUB Avhad Oasis,HRUB Avhad Oasis,,"Dadar West, Mumbai",₹2.95 - 3.16 Cr,,,,,2 BHK,,,,Dadar Railway Station | Dadar Beach,"Finest 2 BHK apartments in Dadar West available for sale in HRUB Avhad Oasis. Apartment prices in this housing society vary in the range of Rs. 2.95 - 3.16 Cr. The housing society is RERA-registered with P51900077721 registration number. HRUB Avhad Oasis has apartments in multiple configurations, in range of 703 - 753 sqft",HRUB Builders LLP,,,https://www.99acres.com/hrub-avhad-oasis-dadar-west-south-mumbai-npxid-r443199,2 BHK Apartment: ₹2.95 - 3.16 Cr,1
Q87814410,PROPERTY,"1 BHK Flat in Dadar West, Mumbai","1 BHK Flat in Dadar West, Mumbai",Suraj Park View,"Dadar West, Mumbai",₹3 Cr,"₹66,666 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,1,Under Construction,22nd out of 24 Floors | Overlooking Park,,"Looking for a 1 bhk property for sale in mumbai south? Buy this 1 bhk flat in suraj park view that is situated in dadar west, mumbai south. The flat occupies a carpet area of 450 sq.Ft. That consists of 1 bedroom, 1 bathroom and 2 balconies. The residential building has 24 floors in total and the flat for sale is located on the 22nd floor. This residential property is still under construction a...",MANISHA ENTERPRISES,,,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-suraj-park-view-dadar-west-south-mumbai-450-sqft-r1-spid-Q87814410,,1
R89034368,PROPERTY,"2 BHK Flat in Dadar West, Mumbai","2 BHK Flat in Dadar West, Mumbai",Suraj Lumiere Apartments,"Dadar West, Mumbai",₹5.15 Cr,"₹69,034 /sqft",746 sqft,(69 sqm),Carpet Area,2 BHK,2,Ready To Move,18th out of 18 Floors | Overlooking Main Road,,"This residential flat is east-Facing direction. Containing 2 bedroom(s), 2 bathrooms , this flat is spread over a carpet area of 746 sq.Ft. The property is located on the top floor of a 18 floors tall building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The well built marble flooring enhances the aesthetic appeal of this flat. This residen...",Ck Real Estate Consultant,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suraj-lumiere-apartments-dadar-west-south-mumbai-746-sqft-r1-spid-R89034368,,1
440658,PROJECT,Sugee Gaurav,Sugee Gaurav,,"Dadar West, Mumbai",₹6.65 Cr,,,,,3 BHK,,,,Dadar Beach | Worli Metro Station,"Finest 3 BHK apartments in Dadar West available for sale in Sugee Gaurav. Prices of apartments in this project, vary between Rs. 6.65 Cr. The housing society is RERA-registered with P51900078572 registration number. Here units have different sizes, mostly in range of 1,108 sqft CARPET area",Sugee Group,,,https://www.99acres.com/sugee-gaurav-dadar-west-south-mumbai-npxid-r440658,3 BHK Apartment: ₹6.65 Cr,1
J91001306,PROPERTY,"2 BHK Flat in Dadar West, Mumbai","2 BHK Flat in Dadar West, Mumbai",sai datta,"Dadar West, Mumbai",₹3.5 Cr,"₹48,611 /sqft",720 sqft,(67 sqm),Super Built-up Area,2 BHK,2,Ready To Move,15th out of 16 Floors | East Facing,,"The flat is east-Facing. The floor plan additionally contains 2 bedroom(s), 2 bathrooms . All in all, the flat is spread over a super built up area of 720 sq.Ft. This flat lies on the 15th level of a 16 storey building. Being a ready to move project, you can expect immediate possession of this 5-10 years old property. The beautifully designed vitrified flooring enhances the beauty of the flat. ...",MITESH PRAMOD ADVIRKAR,,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dadar-west-south-mumbai-720-sqft-r1-spid-J91001306,,1
430404,PROJECT,Rajadhiraj Mansion 835,Rajadhiraj Mansion 835,,"Dadar West, Mumbai",₹5.18 Cr | ₹7.43 Cr,,,,,4 BHK,,,,,"Beautiful 3,4 BHK apartments in Dadar West, are now available in Rajadhiraj Mansion 835 housing project. Apartments in Rajadhiraj Mansion 835 have CARPET area ranging between 1,147 - 1,645 sqft. This society is RERA approved and P51900076770 is the RERA number. Apartments in this complex are available in price range of Rs. 5.18 - 7.43 Cr",Rajadhiraj Construction LLP,,,https://www.99acres.com/rajadhiraj-mansion-835-dadar-west-south-mumbai-npxid-r430404,3 BHK Apartment: ₹5.18 Cr | 4 BHK Apartment: ₹7.43 Cr,1
390308,PROJECT,The Baya Midtown,The Baya Midtown,,"Dadar West, Mumbai",₹1.93 Cr | ₹2.73 Cr,,,,,2 BHK,,,,Dadar Railway Station | Dadar Metro Station,"The Baya Midtown, one of the known housing societes in Mumbai South, brings classic yet modern 1,2 BHK apartments in Dadar West. Apartments in this complex are available in price range of Rs. 1.93 - 2.73 Cr. The Baya Midtown has apartments in multiple configurations, in range of 422 - 596 sqft. The Baya Midtown is a RERA- registered society and P51900035023 is the RERA registration number",The Baya Company,,,https://www.99acres.com/the-baya-midtown-dadar-west-south-mumbai-npxid-r390308,1 BHK Apartment: ₹1.93 Cr | 2 BHK Apartment: ₹2.73 Cr,1
D91990690,PROPERTY,"2 BHK Flat in Dadar West, Mumbai","2 BHK Flat in Dadar West, Mumbai",Shree Swami Samartha Darshan,"Dadar West, Mumbai",₹2.9 Cr,"₹46,180 /sqft",627.97 sqft,(58 sqm),Carpet Area,2 BHK,1,Ready To Move,5th out of 18 Floors | Overlooking Main Road,,"This property faces the east direction. The flat occupies a carpet area of 58 sq.M. That consists of 2 bedrooms, 1 bathroom and 3 balconies. The residential building has 18 floors in total and the flat for sale is located on the 5th floor. This is a ready to move project and the property is 1-5 years old. The floor of this flat is beautifully designed using ceramic flooring, giving the flat an ...",Om Properties,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shree-swami-samartha-darshan-dadar-west-south-mumbai-628-sqft-spid-D91990690,,1
X62852964,PROPERTY,"2 BHK Flat in Lokmanya Tilak Colony, Dadar","2 BHK Flat in Lokmanya Tilak Colony, Dadar",Royal Status,"Lokmanya Tilak Colony, Dadar",₹3.2 Cr,"₹49,230 /sqft",650 sqft,(60 sqm),Carpet Area,2 BHK,2,Ready To Move,4th out of 7 Floors | Overlooking Club House,,"Fully furnished apartment very close to dadar club and dadar tt with reputed schools like king george, wadia school, don bosco,bombay scottish etc and colleges like ruia college, podar college, vjti in proximity. Walking distance from dadar station, five gardens. Connectivity with express way, upcoming mthl at 5 minutes driving distance. Well maintained and peaceful society with low outgoings.",Owner,3mo ago,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lokmanya-tilak-colony-mumbai-south-650-sqft-r1-spid-X62852964,,1
387854,PROJECT,Shri Ratan Address,Shri Ratan Address,,"Dadar West, Mumbai",₹3.66 Cr,,,,,2 BHK,,,,Shree Dutt Memorial Public School | Dadar Beach,"Finest 2 BHK apartments in Dadar West available for sale in Shri Ratan Address. Prices of apartments in this project, vary between Rs. 3.66 Cr. Shri Ratan Address 's RERA registration number is P51900032985. Here units have different sizes, mostly in range of 665 sqft CARPET area",Shri Nakoda Enterprises,,,https://www.99acres.com/shri-ratan-address-dadar-west-south-mumbai-npxid-r387854,2 BHK Apartment: ₹3.66 Cr,1
C80009999,PROPERTY,"2 BHK Flat in Hindu Colony, Dadar","2 BHK Flat in Hindu Colony, Dadar",Mehta Residency,"Hindu Colony, Dadar",₹3.15 Cr,"₹52,500 /sqft",600 sqft,(56 sqm),Carpet Area,2 BHK,2,Ready To Move,3rd out of 7 Floors | East Facing,,"Mehta residency is one of mumbai south's most sought after destination for apartments and this 2 bhk flat in hindu colony is your opportunity to be a part of this community. The flat is facing the east direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms . All in all, the flat is spread over a carpet area of 600 sq.Ft. This flat is situated on the 3rd floor of this 7 floors...",Matrix Realty Solutions,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mehta-residency-hindu-colony-mumbai-south-600-sqft-r8-spid-C80009999,,1
F92713768,PROPERTY,"2 BHK Flat in Dadar West, Mumbai","2 BHK Flat in Dadar West, Mumbai",GOOD HARMONY,"Dadar West, Mumbai",₹2.75 Cr,"₹50,925 /sqft",540 sqft,(50 sqm),Carpet Area,2 BHK,2,Ready To Move,9th out of 9 Floors | Overlooking Main Road,,"The flat is facing the north-East direction. Constructed on a carpet area of 540 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms . The flat has a total of 9 floors and this property is situated on top floor. As the project is already ready to move, so you can easily move into this 1-5 years old property. The flat comes well built with vitrified flooring options. The flat will offer a moder...",Arham Real Estate Consultants,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dadar-west-south-mumbai-540-sqft-spid-F92713768,,1
G93248860,PROPERTY,"2 BHK Flat in Dadar West, Mumbai","2 BHK Flat in Dadar West, Mumbai",Shreenath Satguru Skylight,"Dadar West, Mumbai",₹2.75 Cr,"₹41,920 /sqft",656 sqft,(61 sqm),Carpet Area,2 BHK,2,Under Construction,15th out of 17 Floors,,"The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 656 sq.Ft. The residential building has 17 floors in total and the flat for sale is located on the 15th floor. This residential flat is currently under construction and you can expect the possession of the same by october l. All the modern amenities such as gymnasiu...",Owner,4d ago,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shreenath-satguru-skylight-dadar-west-south-mumbai-656-sqft-spid-G93248860,,1
P67581428,PROPERTY,"2 BHK Flat in Dadar East, Mumbai","2 BHK Flat in Dadar East, Mumbai","Royal Status Building, Dadar","Dadar East, Mumbai",₹3.2 Cr,"₹40,000 /sqft",800 sqft,(74 sqm),Built-up Area,2 BHK,2,Ready To Move,4th out of 7 Floors | East Facing,,Best in class property available at dadar east location in mumbai,Owner,1mo ago,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dadar-east-south-mumbai-800-sqft-spid-P67581428,,1
E92012716,PROPERTY,"1 BHK Flat in Hindu Colony, Dadar","1 BHK Flat in Hindu Colony, Dadar",The Bombay Hindu CHS,"Hindu Colony, Dadar",₹2.4 Cr,"₹50,000 /sqft",480 sqft,(45 sqm),Carpet Area,1 BHK,2,Ready To Move,1st out of 3 Floors | Open Side,,"This is a east-Facing property. Containing 1 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a carpet area of 480 sq.Ft. This flat is situated on the 1st floor of this 3 floors tall residential building. This 10+ years old property is available for immediate possession as the project is ready to move. This residential property is situated near close to metro station, close to sc...",Amit Enterprises,Dealer,,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-the-bombay-hindu-chs-hindu-colony-mumbai-south-480-sqft-spid-E92012716,,2
425871,PROJECT,Renaissance The Baya Sunrise,Renaissance The Baya Sunrise,,"Dadar East, Mumbai",₹2.03 Cr | ₹3.55 Cr,,,,,2 BHK,,,,St Paul’s Convent High School | KEM Hospital,"Spacious 1,2 BHK apartments in Dadar East are available for sale.Check out latest property options at Renaissance The Baya Sunrise housing society. Prices of apartments in this project, vary between Rs. 2.03 - 3.55 Cr. This society is RERA approved and P51900055576 is the RERA number. Renaissance The Baya Sunrise apartments are available in multiples sizes, ranging from 484 - 844 sqft CARPET area",Renaissance Spaces,,,https://www.99acres.com/renaissance-the-baya-sunrise-dadar-east-south-mumbai-npxid-r425871,1 BHK Apartment: ₹2.03 Cr | 2 BHK Apartment: ₹3.55 Cr,2
X93025268,PROPERTY,"2 BHK Flat in Shivaji Park, Dadar","2 BHK Flat in Shivaji Park, Dadar",Sugee Hiranya,"Shivaji Park, Dadar",₹3.1 Cr,"₹56,363 /sqft",550 sqft,(51 sqm),Carpet Area,2 BHK,2,Ready To Move,20th out of 23 Floors | Overlooking Main Road,,"The flat is east-Facing. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 550 sq.Ft. The residential building has 23 floors in total and the flat for sale is located on the 20th floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. Another plus point for this is that it is situated near close to m...",Amit Enterprises,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sugee-hiranya-shivaji-park-south-mumbai-550-sqft-spid-X93025268,,2
S92850032,PROPERTY,"2 BHK Flat in Shivaji Park, Dadar","2 BHK Flat in Shivaji Park, Dadar",Sugee Hiranya,"Shivaji Park, Dadar",₹3.1 Cr,"₹56,363 /sqft",550 sqft,(51 sqm),Carpet Area,2 BHK,2,Ready To Move,21st out of 23 Floors | Overlooking Main Road,,"Located on the 21st floor of a high-Rise at sugee hiranya, shivaji park, this semi-Furnished 2 bhk flat offers 550 sqft of well-Planned space with 2 bathrooms and modular kitchen. Available immediately, the 5-10 year old apartment features false ceiling lighting, central a/c, and 2 covered parking spots. Enjoy connectivity via dadar railway and metro stations nearby.",Owner,2w ago,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sugee-hiranya-shivaji-park-south-mumbai-550-sqft-spid-S92850032,,2
434349,PROJECT,Sugee Srushti,Sugee Srushti,,"Dadar East, Mumbai",₹4 Cr,,,,,2 BHK,,,,Dadar TT Circle | Eastern Express Highway,"Looking for your dream home? Explore 2 BHK apartments in Dadar East, now available in Sugee Srushti. Sugee Srushti apartments are available in multiples sizes, ranging from 667 sqft CARPET area. Apartments in this complex are available in price range of Rs. 4 Cr. Sugee Srushti is a RERA- registered society and P51900077195 is the RERA registration number",Sugee Group,,,https://www.99acres.com/sugee-srushti-dadar-east-south-mumbai-npxid-r434349,2 BHK Apartment: ₹4 Cr,2
A65802264,PROPERTY,"2 BHK Flat in Dadar East, Mumbai","2 BHK Flat in Dadar East, Mumbai",chaitanya niwas,"Dadar East, Mumbai",₹3 Cr,"₹35,971 /sqft",834 sqft,(77 sqm),Carpet Area,2 BHK,1,Ready To Move,3rd out of 4 Floors,,Residential apartment for sell.The property comes with a good construction quality which ages 10 years old propertylocated in dadar (East).The property has 2 bedrooms with 1 bathroom .Available at an expected price of rs 30000000.Located on 3rd floor out of the 4,Owner,2w ago,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dadar-east-south-mumbai-834-sqft-r1-spid-A65802264,,2
W90498492,PROPERTY,"2 BHK Flat in Hindu Colony, Dadar","2 BHK Flat in Hindu Colony, Dadar",Avenue 14,"Hindu Colony, Dadar",₹3.45 Cr,"₹30,803 /sqft","1,120 sqft",(104 sqm),Super Built-up Area,2 BHK,2,Ready To Move,10th out of 21 Floors | Private Garden,,"The flat is facing the west direction. The flat occupies a super built up area of 1120 sq.Ft. That consists of 2 bedrooms, 2 bathrooms . The property is located on the 10th floor of a 21 floors tall building. Being a ready to move project, you can expect immediate possession of this 5-10 years old property. The beautifully designed marble flooring enhances the beauty of the flat. This flat is l...",Prospect Realty,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-avenue-14-hindu-colony-mumbai-south-1120-sqft-r1-spid-W90498492,,2
420953,PROJECT,Sugee Sukrut,Sugee Sukrut,,"Dadar West, Mumbai",₹5.33 Cr,,,,,2 BHK,,,,Kirti M. Doongursee College | Dadar Beach,"Looking for your dream home? Explore 2 BHK apartments in Dadar West, now available in Sugee Sukrut. Sugee Sukrut is a RERA- registered society and P51900051181 is the RERA registration number. Here units have different sizes, mostly in range of 799 sqft CARPET area. Apartments in this complex are available in price range of Rs. 5.33 Cr",Sugee Group,,,https://www.99acres.com/sugee-sukrut-dadar-west-south-mumbai-npxid-r420953,2 BHK Apartment: ₹5.33 Cr,2
Y92130498,PROPERTY,"2 BHK Flat in Dadar West, Mumbai","2 BHK Flat in Dadar West, Mumbai",Indrayani,"Dadar West, Mumbai",₹2.5 Cr,"₹50,000 /sqft",500 sqft,(46 sqm),Carpet Area,2 BHK,2,Ready To Move,3rd out of 7 Floors | 1 Open Parking,,"Constructed on a carpet area of 500 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 7 floors in total and the flat for sale is located on the 3rd floor. Being a ready to move project, you can expect immediate possession of this 10+ years old property.",Amit Enterprises,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dadar-west-south-mumbai-500-sqft-spid-Y92130498,,2
I93352664,PROPERTY,"2 BHK Flat in Dadar West, Mumbai","2 BHK Flat in Dadar West, Mumbai",Ratan Building,"Dadar West, Mumbai",₹3.75 Cr,"₹54,904 /sqft",683 sqft,(63 sqm),Carpet Area,2 BHK,2,Ready To Move,14th out of 21 Floors | Overlooking Main Road,,"The flat is facing the west direction. Constructed on a carpet area of 683 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms . This flat is situated on the 14th floor of this 21 floors tall residential building. This residential property is still under construction and will be available for possession immediately. The beautifully designed vitrified flooring enhances the beauty of the flat. T...",Ask realtors,,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ratan-building-dadar-west-south-mumbai-683-sqft-spid-I93352664,,2
P92025442,PROPERTY,"2 BHK Flat in Shivaji Park, Dadar","2 BHK Flat in Shivaji Park, Dadar",Meeraki,"Shivaji Park, Dadar",₹3.9 Cr,"₹60,000 /sqft",650 sqft,(60 sqm),Carpet Area,2 BHK,2,Ready To Move,6th out of 22 Floors | 1 Covered Parking,,"This residential flat is north-West-Facing direction. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 650 sq.Ft. The property is located on the 6th floor of a 22 floors tall building. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move. This residential property is s...",Amit Enterprises,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shivaji-park-south-mumbai-650-sqft-spid-P92025442,,2
O92549132,PROPERTY,"1 BHK Flat in Dadar West, Mumbai","1 BHK Flat in Dadar West, Mumbai",SWAMI SAMARTH MAT,"Dadar West, Mumbai",₹2.3 Cr,"₹49,462 /sqft",465 sqft,(43 sqm),Carpet Area,1 BHK,2,Ready To Move,9th out of 20 Floors | Overlooking Main Road,,"This residential flat is north-East-Facing direction. Containing 1 bedroom(s), 2 bathrooms , this flat is spread over a carpet area of 465 sq.Ft. This flat lies on the 9th level of a 20 storey building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing loo...",Arham Real Estate Consultants,Dealer,,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-dadar-west-south-mumbai-465-sqft-spid-O92549132,,2
442003,PROJECT,Promesa West End,Promesa West End,,"Dadar West, Mumbai",₹3.28 Cr,,,,,2 BHK,,,,Dadar Beach | Peninsula Corporate Park,"Looking for your dream home? Explore 2 BHK apartments in Dadar West, now available in Promesa West End. Promesa West End 's RERA registration number is P51900004931. This society offers apartments in the price range of Rs. 3.28 Cr. Here units have different sizes, mostly in range of 684 sqft CARPET area",Promesa Realty,,,https://www.99acres.com/promesa-west-end-dadar-west-south-mumbai-npxid-r442003,2 BHK Apartment: ₹3.28 Cr,2
