,id,listing_type,title,property_name,project,location,price,price_per_sqft,area,area_unit,area_type,bhk,bathrooms,possession,highlights,nearby,description,builder,posted_by,image,url,configurations,source_page
10,466537,PROJECT,Vascon Tranquil Heights,Vascon Tranquil Heights,,"Powai, Mumbai",₹1.84 Cr | ₹2.6 - 2.79 Cr | ₹3.98 - 3.99 Cr,,,,,3 BHK,,,,Aurum IT Park | The Westin Mumbai Powaii,"Spacious 1,2,3 BHK apartments in Powai are available for sale.Check out latest property options at Vascon Tranquil Heights housing society. Apartments in Vascon Tranquil Heights have CARPET area ranging between 410 - 886 sqft. This society offers apartments in the price range of Rs. 1.84 - 3.99 Cr. The housing society is RERA-registered with PR1180002600330 registration number",Vascon Developers LLP,,,https://www.99acres.com/vascon-tranquil-heights-powai-central-mumbai-suburbs-npxid-r466537,1 BHK Apartment: ₹1.84 Cr | 2 BHK Apartment: ₹2.6 - 2.79 Cr | 3 BHK Apartment: ₹3.98 - 3.99 Cr,1
11,V89430720,PROPERTY,"2 BHK Flat in Powai, Mumbai","2 BHK Flat in Powai, Mumbai",DSS Mahavir Classik,"Powai, Mumbai",₹2.39 Cr,"₹25,157 /sqft",950 sqft,(88 sqm),Built-up Area,2 BHK,2.0,Ready To Move,6th out of 9 Floors | Overlooking Main Road,,"The flat is north-East-Facing. The society building and the flat has been recently renovated to offer spacious internal space. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a built up area of 950 sq.Ft. This flat is situated on the 6th floor of this 9 floors tall residential building. As the project is already ready to move, so...",Owner,2mo ago,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dss-mahavir-classik-powai-central-mumbai-suburbs-950-sqft-spid-V89430720,,1
12,S93054884,PROPERTY,"2 BHK Flat in Hiranandani Gardens Powai, Mumbai","2 BHK Flat in Hiranandani Gardens Powai, Mumbai",AP Panchvati B,"Hiranandani Gardens Powai, Mumbai",₹1.82 Cr,"₹19,157 /sqft",950 sqft,(88 sqm),Built-up Area,2 BHK,2.0,Ready To Move,3rd out of 18 Floors | Recently Renovated,,"This is a south-West-Facing property. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a built up area of 950 sq.Ft. The residential building has 18 floors in total and the flat for sale is located on the 3rd floor. As the project is already ready to move, so you can easily move into this 5-10 years old property. The well built vitrified flooring enhances the aesth...",Property Anytime,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ap-panchvati-b-hiranandani-gardens-powai-central-mumbai-suburbs-950-sqft-spid-S93054884,,1
13,A90802894,PROPERTY,"2 BHK Flat in Chandivali, Mumbai","2 BHK Flat in Chandivali, Mumbai",Shapoorji Pallonji Vicinia,"Chandivali, Mumbai",₹2.4 Cr,"₹20,000 /sqft","1,200 sqft",(111 sqm),Built-up Area,2 BHK,2.0,Ready To Move,14th out of 22 Floors | North-East Facing,,"This property faces the north-East direction. The flat occupies a built up area of 1200 sq.Ft. That consists of 2 bedrooms, 2 bathrooms . This flat is situated on the 14th floor of this 22 floors tall residential building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The well built vitrified flooring enhances the aesthetic appeal of this flat...",RK Realtor,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-vicinia-chandivali-central-mumbai-suburbs-1200-sqft-spid-A90802894,,1
14,12616,PROJECT,GHP Mars Suncity,GHP Mars Suncity,,"Powai, Mumbai",₹1.27 - 1.35 Cr | ₹1.84 - 2.39 Cr,,,,,2 BHK,,,,Podar International School | Dr L H Hiranandani Hospital,"GHP Mars Suncity, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2 BHK apartments in Powai. Prices of apartments in this project, vary between Rs. 1.27 - 2.39 Cr. Apartments in GHP Mars Suncity have CARPET area ranging between 422 - 796 sqft. GHP Mars Suncity is a RERA- registered society and P51800007268 is the RERA registration number",GHP Group,,,https://www.99acres.com/ghp-mars-suncity-powai-central-mumbai-suburbs-npxid-r12616,1 BHK Apartment: ₹1.27 - 1.35 Cr | 2 BHK Apartment: ₹1.84 - 2.39 Cr,1
15,B91901314,PROPERTY,"3 BHK Flat in Chandivali, Mumbai","3 BHK Flat in Chandivali, Mumbai","Tilia-Tulipia, Nahar's Amrit Shakti","Chandivali, Mumbai",₹3.73 Cr,"₹34,601 /sqft","1,078 sqft",(100 sqm),Carpet Area,3 BHK,2.0,Ready To Move,7th out of 21 Floors | 1 Covered Parking,,"The flat is over 1078 sq.Ft. Carpet area and comes with 3 bedroom(s), 2 bathrooms and 1 balcony. The property is located on the 7th floor of a 21 floors tall building. This 1-5 years old property is available for immediate possession as the project is ready to move. Many of the modern amenities being offered, like swimming pool, fitness centre / gym, club house, park, shopping centre and lift(s...",Owner,1mo ago,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-chandivali-central-mumbai-suburbs-1078-sqft-spid-B91901314,,1
16,J93109782,PROPERTY,"1 BHK Flat in Chandivali, Mumbai","1 BHK Flat in Chandivali, Mumbai",Lake Side CHS,"Chandivali, Mumbai",₹1.42 Cr,"₹23,278 /sqft",610 sqft,(57 sqm),Super Built-up Area,1 BHK,1.0,Ready To Move,8th out of 10 Floors | Overlooking Park,,"The flat is facing the south direction. The floor plan additionally contains 1 bedroom(s), 1 bathroom . All in all, the flat is spread over a super built up area of 610 sq.Ft. The property is located on the 8th floor of a 10 floors tall building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The floor of ...",gansairaj property,Dealer,,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-lake-side-chs-chandivali-central-mumbai-suburbs-610-sqft-spid-J93109782,,1
17,463527,PROJECT,Hiranandani Rockside,Hiranandani Rockside,,"Powai, Mumbai",₹12.97 - 14.59 Cr,,,,,4 BHK,,,,Hiranandani Foundation School | Hiranandani Knowledge Park,"Check out 4 BHK apartments in Powai, now available for sale at Hiranandani Rockside. Hiranandani Rockside apartments are available in multiples sizes, ranging from 1,729 - 1,946 sqft CARPET area. Hiranandani Rockside 's RERA registration number is PR1180002502729. Apartments in this complex are available in price range of Rs. 12.97 - 14.59 Cr",Hiranandani Communities,,,https://www.99acres.com/hiranandani-rockside-powai-central-mumbai-suburbs-npxid-r463527,4 BHK Apartment: ₹12.97 - 14.59 Cr,1
18,Z92714958,PROPERTY,"Studio Apartments / 1 RK Flats in Sangharsh Nagar, Chandivali","Studio Apartments / 1 RK Flats in Sangharsh Nagar, Chandivali",Navjeevan Society,"Sangharsh Nagar, Chandivali",₹50 Lac,"₹16,666 /sqft",300 sqft,(28 sqm),Carpet Area,1 BHK,1.0,Ready To Move,Close to Metro Station | Close to Hospital,,"Road facing area with very good ventilation as it is raod facing also in top floor , market , hospital, super markets, shopping mall, police station, zudio, parks, d-Mart all these are there in a few steps away. Also the locality has a best connectivity in overall mumbai anywhere, sharing auto is nearest for ghatkopar, all the big banks are near by, food and restaurants are near by everything i...",Owner,2w ago,,https://www.99acres.com/studio-apartment-flat-for-sale-in-sangharsh-nagar-central-mumbai-suburbs-300-sqft-spid-Z92714958,,1
19,S91489274,PROPERTY,"3 BHK Flat in Chandivali, Mumbai","3 BHK Flat in Chandivali, Mumbai",Palatial Heights,"Chandivali, Mumbai",₹2.65 Cr,"₹22,844 /sqft","1,160 sqft",(108 sqm),Super Built-up Area,3 BHK,3.0,Ready To Move,3rd out of 21 Floors | Overlooking Park,,"This property faces the east direction. The flat is over 1160 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 1 balcony. This flat is situated on the 3rd floor of this 21 floors tall residential building. As the project is already ready to move, so you can easily move into this 10+ years old property. The floor of this flat is beautifully designed using vitrified floorin...",Minerva Properties,,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-palatial-heights-chandivali-central-mumbai-suburbs-1160-sqft-spid-S91489274,,1
20,A78834883,PROPERTY,"2 BHK Flat in Hiranandani Gardens Powai, Mumbai","2 BHK Flat in Hiranandani Gardens Powai, Mumbai",Kanakia Silicon Valley,"Hiranandani Gardens Powai, Mumbai",₹3.25 Cr,"₹39,537 /sqft",822 sqft,(76 sqm),Carpet Area,2 BHK,2.0,Ready To Move,15th out of 30 Floors | Overlooking Park,,"The flat is facing the east direction. The flat occupies a carpet area of 822 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 1 balcony. This flat is situated on the 15th floor of this 30 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The well built vitrified flooring e...",Zen Realtors,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-gardens-powai-central-mumbai-suburbs-822-sqft-r4-spid-A78834883,,1
21,440621,PROJECT,Adityaraj Greens,Adityaraj Greens,,"Powai, Mumbai",₹1.2 - 1.21 Cr | ₹2.09 Cr | ₹2.05 Cr,,,,,3 BHK,,,,IIT Bombay | Dr. L H Hiranandani Hospital,"Adityaraj Greens society now offers elegantly built 1,2,3 BHK apartments in Powai. This society is RERA approved and P51800079280 is the RERA number. Apartments in this complex are available in price range of Rs. 1.2 - 2.09 Cr. Here units have different sizes, mostly in range of 463 - 790 sqft CARPET area",Adityaraj Group,,,https://www.99acres.com/adityaraj-greens-powai-central-mumbai-suburbs-npxid-r440621,1 BHK Apartment: ₹1.2 - 1.21 Cr | 2 BHK Apartment: ₹2.09 Cr | 3 BHK Apartment: ₹2.05 Cr,1
22,B93175900,PROPERTY,"2 BHK Flat in Chandivali, Mumbai","2 BHK Flat in Chandivali, Mumbai",k Raheja Vistas,"Chandivali, Mumbai",₹2.66 Cr,"₹38,000 /sqft",700 sqft,(65 sqm),Carpet Area,2 BHK,2.0,Ready To Move,11th out of 22 Floors | Overlooking Park,,"This residential flat is east-Facing direction. The flat occupies a carpet area of 700 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 3 balconies. The property is located on the 11th floor of a 22 floors tall building. As the project is already ready to move, so you can easily move into this 10+ years old property. The well built vitrified flooring enhances the aesthetic appeal of this fla...",Harvest Star India Realtors,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-k-raheja-vistas-chandivali-central-mumbai-suburbs-700-sqft-spid-B93175900,,1
23,P91983808,PROPERTY,"2 BHK Flat in Chandivali, Mumbai","2 BHK Flat in Chandivali, Mumbai",Shapoorji Pallonji Vicinia,"Chandivali, Mumbai",₹2.4 Cr,"₹35,771 /sqft",670.92 sqft,(62 sqm),Carpet Area,2 BHK,,Ready To Move,10th out of 20 Floors | Overlooking Park,,"The residential building has 20 floors in total and the flat for sale is located on the 10th floor. This 1-5 years old property is available for immediate possession as the project is ready to move. The flat comes well built with vitrified flooring options. This flat is located near close to metro station, close to school, close to hospital and close to market. The flat will offer a modern life...",Harvest Star India Realtors,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-vicinia-chandivali-central-mumbai-suburbs-671-sqft-spid-P91983808,,1
24,K92990202,PROPERTY,"2 BHK Flat in Raheja Vihar, Chandivali","2 BHK Flat in Raheja Vihar, Chandivali",K Raheja Maple Leaf CHS,"Raheja Vihar, Chandivali",₹2.75 Cr,"₹22,916 /sqft","1,200 sqft",(111 sqm),Super Built-up Area,2 BHK,2.0,Ready To Move,15th out of 20 Floors | Overlooking Park,,"The floor plan additionally contains 2.5 bedroom(s), 2.5bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1200 sq.Ft. This flat lies on the 15th level of a 20 storey building. Being a ready to move project, you can expect immediate possession of this 10+ years old property. All the modern amenities such as swimming pool, gymnasium, club house, park, shoppin...",VN Property,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-k-raheja-maple-leaf-chs-raheja-vihar-central-mumbai-suburbs-1200-sqft-spid-K92990202,,1
25,E93137628,PROPERTY,"2 BHK Flat in Chandivali, Mumbai","2 BHK Flat in Chandivali, Mumbai",k Raheja Vistas,"Chandivali, Mumbai",₹2.85 Cr,"₹40,714 /sqft",700 sqft,(65 sqm),Carpet Area,2 BHK,2.0,Ready To Move,12th out of 21 Floors | Overlooking Park,,"The flat is east-Facing. The flat is over 700 sq.Ft. Carpet area and comes with 2 bedroom(s), 2 bathrooms and 1 balcony. The property is located on the 12th floor of a 21 floors tall building. Moreover, the flat is currently under construction and possession is expected immediately. The floor of this flat is beautifully designed using marble flooring, giving the flat an alluring look. The flat ...",Saimaitri Enterprises,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-k-raheja-vistas-chandivali-central-mumbai-suburbs-700-sqft-spid-E93137628,,2
26,Q92275806,PROPERTY,"2 BHK Flat in Powai, Mumbai","2 BHK Flat in Powai, Mumbai",Kanakia Silicon Valley,"Powai, Mumbai",₹3.05 Cr,"₹39,559 /sqft",771 sqft,(116 sqm),Carpet Area,2 BHK,2.0,Ready To Move,19th out of 24 Floors | Overlooking Park,,"The flat is east-Facing. The flat occupies a built up area of 1250 sq.Ft. That consists of 2 bedrooms, 2 bathrooms . This flat is situated on the 19th floor of this 24 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The flat comes well built with marble flooring options. The...",Propertism,,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kanakia-silicon-valley-powai-central-mumbai-suburbs-1250-sqft-spid-Q92275806,,2
27,379127,PROJECT,Hiranandani Highland,Hiranandani Highland,,"Powai, Mumbai",₹1.96 - 1.98 Cr | ₹2.94 - 3.22 Cr | ₹4.06 - 4.08 Cr,,,,,3 BHK,,,,Indian Institute of Technology Bombay | Boomerang Building,"Hiranandani Highland society now offers elegantly built 1,2,3 BHK apartments in Powai. This society offers apartments in the price range of Rs. 1.96 - 4.08 Cr. Here units have different sizes, mostly in range of 377 - 785 sqft CARPET area. The housing society is RERA-registered with P51800029948 registration number",Hiranandani Developers,,,https://www.99acres.com/hiranandani-highland-powai-central-mumbai-suburbs-npxid-r379127,1 BHK Apartment: ₹1.96 - 1.98 Cr | 2 BHK Apartment: ₹2.94 - 3.22 Cr | 3 BHK Apartment: ₹4.06 - 4.08 Cr,2
28,F92472808,PROPERTY,"2 BHK Flat in Chandivali, Mumbai","2 BHK Flat in Chandivali, Mumbai",Shapoorji Pallonji Vicinia,"Chandivali, Mumbai",₹2.23 Cr,"₹33,283 /sqft",670 sqft,(62 sqm),Carpet Area,2 BHK,2.0,Ready To Move,17th out of 22 Floors,,"This north-West-Facing 2 bhk at vicinia offers a calm, elevated perspective over the chandivali neighbourhood. Abundant sunlight fills the home through the day, creating a vibrant and consistently bright atmosphere, while the quiet setting ensures the evenings feel genuinely restful. Residents enjoy a thoughtfully curated lifestyle with access to a swimming pool, a fully equipped gymnasium, and...",Owner,1mo ago,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-vicinia-chandivali-central-mumbai-suburbs-670-sqft-spid-F92472808,,2
29,B93325440,PROPERTY,"2 BHK Flat in Powai, Mumbai","2 BHK Flat in Powai, Mumbai",L&T Elixir Reserve,"Powai, Mumbai",₹3.35 Cr,"₹47,925 /sqft",699 sqft,(65 sqm),Carpet Area,2 BHK,2.0,Ready To Move,20th out of 26 Floors,,"Available 2 bhk 700 carpet with 2 balcony in elixir atthis tower .Constructed on a carpet area of 640 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 26 floors and this property is situated on 20th floor. All the modern amenities such as swimming pool, gymnasium, club house, park, shopping centre and lift(s) will make life easier for you.",Golden Key Realty,Dealer,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-l-t-elixir-reserve-powai-central-mumbai-suburbs-699-sqft-spid-B93325440,,2
30,E87883020,PROPERTY,"3 BHK Flat in Chandivali, Mumbai","3 BHK Flat in Chandivali, Mumbai",Mahindra Alcove,"Chandivali, Mumbai",₹3.2 Cr,"₹32,520 /sqft",984 sqft,(91 sqm),Carpet Area,3 BHK,3.0,Ready To Move,5th out of 16 Floors | Overlooking Park,,"Check out this 3 bhk apartment for sale in mahindra alcove, a popular residential project that houses in-Demand flats in chandivali, central mumbai. The flat occupies a carpet area of 984 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 1 balcony. The flat has a total of 16 floors and this property is situated on 5th floor. This residential property is still under construction and will be av...",Owner,2mo ago,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mahindra-alcove-chandivali-central-mumbai-suburbs-984-sqft-r1-spid-E87883020,,2
31,F92472228,PROPERTY,"2 BHK Flat in Chandivali, Mumbai","2 BHK Flat in Chandivali, Mumbai",Synchronicity,"Chandivali, Mumbai",₹2.35 Cr,"₹29,375 /sqft",800 sqft,(74 sqm),Built-up Area,2 BHK,2.0,Ready To Move,15th out of 17 Floors | Overlooking Park,,"A bright north-Exit 2bhk home in synchronicity in chandivali, this apartment offers a practical, well-Planned layout with a comfortable living and dining area, three well-Proportioned bedrooms and an efficiently designed kitchen with utility space, ideal for a modern mumbai family lifestyle. This apartment provides pleasant city views from the living room and bedrooms, bringing in ample natural...",Owner,1mo ago,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-chandivali-central-mumbai-suburbs-800-sqft-spid-F92472228,,2
32,V91255102,PROPERTY,"2 BHK Flat in Powai, Mumbai","2 BHK Flat in Powai, Mumbai",L&T Elixir Reserve,"Powai, Mumbai",₹3.1 Cr,"₹44,915 /sqft",690.19 sqft,(64 sqm),Carpet Area,2 BHK,2.0,Ready To Move,14th out of 26 Floors,,"The flat is facing the east direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 690 sq.Ft. The property is located on the 14th floor of a 26 floors tall building. This is a ready to move project and the property is 0-1 year old. The flat comes well built with marble flooring options. L&t elixir reserve is ...",Rm enterprises,,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-l-t-elixir-reserve-powai-central-mumbai-suburbs-690-sqft-spid-V91255102,,2
33,312775,PROJECT,Kanakia Silicon Valley,Kanakia Silicon Valley,,"Powai, Mumbai",₹3.06 - 3.78 Cr | ₹3.95 - 6.5 Cr | ₹6.46 Cr,,,,,4 BHK,,,,Dr L H Hiranandani Hospital | Podar International School,"Beautiful 2,3,4 BHK apartments in Powai, are now available in Kanakia Silicon Valley housing project. Kanakia Silicon Valley 's RERA registration number is P51800034748. Here units have different sizes, mostly in range of 665 - 1,644 sqft CARPET area. Apartments in this complex are available in price range of Rs. 3.06 - 6.5 Cr",Kanakia Spaces Realty,,,https://www.99acres.com/kanakia-silicon-valley-powai-central-mumbai-suburbs-npxid-r312775,2 BHK Apartment: ₹3.06 - 3.78 Cr | 3 BHK Apartment: ₹3.95 - 6.5 Cr | 4 BHK Apartment: ₹6.46 Cr,2
34,F92945486,PROPERTY,"2 BHK Flat in Powai, Mumbai","2 BHK Flat in Powai, Mumbai",Kanakia Silicon Valley,"Powai, Mumbai",₹2.3 Cr,"₹24,210 /sqft",950 sqft,(88 sqm),Built-up Area,2 BHK,2.0,Ready To Move,2nd out of 24 Floors | Overlooking Park,,"This is a east-Facing property. Constructed on a built up area of 950 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms . The property is located on the 2nd floor of a 24 floors tall building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The floor of this flat is beautifully designed using marble flooring, giving the flat an alluring look...",Propertism,,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kanakia-silicon-valley-powai-central-mumbai-suburbs-950-sqft-spid-F92945486,,2
